Year,School,Conf,Rank,G,W,L,Opp_Fum,Opp_Int,Opp_TO,Fum,Int,TO,Margin,Margin/G
2012,Oregon,Pac-12,1,13,12.0,1.0,14,26,40,10,9,19,21,1.62
2012,Boise St.,Mountain West,2,13,11.0,2.0,18,18,36,9,7,16,20,1.54
2012,Kansas St.,Big 12,3,13,11.0,2.0,13,18,31,3,9,12,19,1.46
2012,Kent State,MAC,4,14,11.0,3.0,15,23,38,7,11,18,20,1.43
2012,LSU,SEC,5,13,10.0,3.0,15,18,33,10,7,17,16,1.23
2012,Mississippi St.,SEC,5,13,8.0,5.0,14,19,33,7,10,17,16,1.23
2012,Florida,SEC,7,13,11.0,2.0,10,20,30,10,5,15,15,1.15
2012,Fresno St.,Mountain West,7,13,9.0,4.0,13,22,35,12,8,20,15,1.15
2012,Ohio,MAC,7,13,9.0,4.0,12,13,25,5,5,10,15,1.15
2012,Louisiana Tech,WAC,10,12,9.0,3.0,16,10,26,8,5,13,13,1.08
2012,Northwestern,Big Ten,11,13,10.0,3.0,16,13,29,8,7,15,14,1.08
2012,SMU,C-USA,11,13,7.0,6.0,16,21,37,8,15,23,14,1.08
2012,Alabama,SEC,13,14,13.0,1.0,11,18,29,12,3,15,14,1.0
2012,Iowa,Big Ten,13,12,4.0,8.0,13,10,23,3,8,11,12,1.0
2012,Pittsburgh,AAC,15,13,6.0,7.0,7,15,22,7,3,10,12,0.92
2012,Central Florida,C-USA,16,14,10.0,4.0,16,11,27,8,7,15,12,0.86
2012,Louisville,AAC,17,13,11.0,2.0,13,11,24,5,8,13,11,0.85
2012,New Mexico,Mountain West,17,13,4.0,9.0,14,11,25,10,4,14,11,0.85
2012,Middle Tennessee,Sun Belt,19,12,8.0,4.0,16,12,28,10,8,18,10,0.83
2012,Georgia,SEC,20,14,12.0,2.0,17,13,30,8,11,19,11,0.79
2012,Rutgers,AAC,21,13,9.0,4.0,14,18,32,6,16,22,10,0.77
2012,Penn State,Big Ten,22,12,8.0,4.0,12,10,22,8,5,13,9,0.75
2012,Arkansas St.,Sun Belt,23,13,10.0,3.0,10,13,23,9,5,14,9,0.69
2012,Cincinnati,AAC,23,13,10.0,3.0,12,16,28,8,11,19,9,0.69
2012,Wake Forest,ACC,25,12,5.0,7.0,12,11,23,8,7,15,8,0.67
2012,Stanford,Pac-12,26,14,12.0,2.0,12,15,27,8,10,18,9,0.64
2012,Notre Dame,FBS Independent,27,13,12.0,1.0,7,16,23,7,8,15,8,0.62
2012,Oregon St.,Pac-12,27,13,9.0,4.0,11,20,31,7,16,23,8,0.62
2012,San Jose St.,WAC,27,13,11.0,2.0,17,15,32,15,9,24,8,0.62
2012,Miami (FL),FL ,30,12,7.0,5.0,11,11,22,8,7,15,7,0.58
2012,North Carolina,ACC,30,12,8.0,4.0,9,16,25,11,7,18,7,0.58
2012,Wyoming,Mountain West,30,12,4.0,8.0,14,6,20,5,8,13,7,0.58
2012,UL Monroe,Sun Belt,33,13,8.0,5.0,10,16,26,4,15,19,7,0.54
2012,Toledo,MAC,33,13,9.0,4.0,10,17,27,9,11,20,7,0.54
2012,West Virginia,Big 12,33,13,7.0,6.0,10,10,20,6,7,13,7,0.54
2012,Northern Illinois,MAC,36,14,12.0,2.0,12,15,27,14,6,20,7,0.5
2012,UCLA,Pac-12,36,14,9.0,5.0,17,15,32,14,11,25,7,0.5
2012,Arizona St.,Pac-12,38,13,8.0,5.0,9,21,30,12,12,24,6,0.46
2012,Rice,C-USA,39,13,7.0,6.0,16,11,27,17,5,22,5,0.38
2012,Texas,Big 12,39,13,9.0,4.0,6,15,21,5,11,16,5,0.38
2012,Washington,Pac-12,39,13,7.0,6.0,16,17,33,14,14,28,5,0.38
2012,Utah,Pac-12,42,12,5.0,7.0,14,8,22,9,9,18,4,0.33
2012,Bowling Green,MAC,43,13,8.0,5.0,12,10,22,5,13,18,4,0.31
2012,South Carolina,SEC,43,13,11.0,2.0,9,15,24,11,9,20,4,0.31
2012,Georgia Tech,ACC,45,14,7.0,7.0,9,16,25,13,8,21,4,0.29
2012,Ohio St.,Big Ten,46,12,12.0,0.0,7,14,21,11,7,18,3,0.25
2012,TCU,Big 12,47,13,7.0,6.0,11,21,32,17,12,29,3,0.23
2012,Tulsa,C-USA,48,14,11.0,3.0,15,12,27,11,13,24,3,0.21
2012,Wisconsin,Big Ten,48,14,8.0,6.0,7,8,15,6,6,12,3,0.21
2012,Baylor,Big 12,50,13,8.0,5.0,7,18,25,10,13,23,2,0.15
2012,Central Michigan,MAC,50,13,7.0,6.0,5,13,18,7,9,16,2,0.15
2012,Clemson,ACC,50,13,11.0,2.0,10,13,23,7,14,21,2,0.15
2012,Duke,ACC,50,13,6.0,7.0,12,11,23,9,12,21,2,0.15
2012,Michigan St.,Big Ten,50,13,7.0,6.0,6,14,20,8,10,18,2,0.15
2012,Missouri,SEC,55,12,5.0,7.0,16,7,23,8,14,22,1,0.08
2012,North Texas,Sun Belt,55,12,4.0,8.0,8,11,19,4,14,18,1,0.08
2012,San Diego St.,Mountain West,57,13,9.0,4.0,12,14,26,14,11,25,1,0.08
2012,East Carolina,C-USA,58,13,8.0,5.0,12,10,22,8,14,22,0,0.0
2012,Iowa St.,Big 12,58,13,6.0,7.0,12,14,26,9,17,26,0,0.0
2012,Navy,Independent,58,13,8.0,5.0,11,8,19,14,5,19,0,0.0
2012,Oklahoma St.,Big 12,58,13,8.0,5.0,11,11,22,6,16,22,0,0.0
2012,Vanderbilt,SEC,58,13,9.0,4.0,7,11,18,13,5,18,0,0.0
2012,Arizona,Pac-12,63,13,8.0,5.0,15,12,27,13,15,28,-1,-0.08
2012,Louisiana,Sun Belt,63,13,9.0,4.0,8,13,21,13,9,22,-1,-0.08
2012,Ole Miss,SEC,63,13,7.0,6.0,13,15,28,11,18,29,-1,-0.08
2012,Utah St.,WAC,63,13,11.0,2.0,6,14,20,11,10,21,-1,-0.08
2012,Western Kentucky,Sun Belt,63,13,7.0,6.0,10,13,23,12,12,24,-1,-0.08
2012,Memphis,C-USA,68,12,4.0,8.0,15,8,23,21,3,24,-1,-0.08
2012,Minnesota,Big Ten,69,13,6.0,7.0,7,13,20,7,15,22,-2,-0.15
2012,Purdue,Big Ten,69,13,6.0,7.0,11,14,25,13,14,27,-2,-0.15
2012,USC,Pac-12,69,13,7.0,6.0,13,19,32,14,20,34,-2,-0.15
2012,Syracuse,AAC,69,13,8.0,5.0,11,9,20,12,10,22,-2,-0.15
2012,Florida Atlantic,Sun Belt,73,12,3.0,9.0,9,8,17,13,6,19,-2,-0.17
2012,Marshall,C-USA,73,12,5.0,7.0,9,9,18,8,12,20,-2,-0.17
2012,Temple,AAC,75,11,4.0,7.0,13,4,17,13,6,19,-2,-0.18
2012,BYU,Independent,76,13,8.0,5.0,10,12,22,8,17,25,-3,-0.23
2012,Ball St.,MAC,76,13,9.0,4.0,7,7,14,7,10,17,-3,-0.23
2012,Indiana,Big Ten,78,12,4.0,8.0,6,7,13,3,13,16,-3,-0.25
2012,Kansas,Big 12,78,12,1.0,11.0,9,11,20,10,13,23,-3,-0.25
2012,Nevada,Mountain West,80,13,7.0,6.0,12,6,18,12,10,22,-4,-0.31
2012,Oklahoma,Big 12,80,13,10.0,3.0,3,13,16,9,11,20,-4,-0.31
2012,Florida Intl,Sun Belt,82,12,3.0,9.0,8,10,18,16,6,22,-4,-0.33
2012,Houston,C-USA,82,12,5.0,7.0,12,19,31,15,20,35,-4,-0.33
2012,Kentucky,SEC,82,12,2.0,10.0,7,5,12,6,10,16,-4,-0.33
2012,UTEP,C-USA,82,12,3.0,9.0,12,7,19,10,13,23,-4,-0.33
2012,Texas A&M,SEC,86,13,11.0,2.0,4,12,16,11,10,21,-5,-0.38
2012,Virginia Tech,ACC,86,13,7.0,6.0,8,13,21,9,17,26,-5,-0.38
2012,Boston College,ACC,88,12,2.0,10.0,9,10,19,11,13,24,-5,-0.42
2012,Colorado St.,Mountain West,88,12,4.0,8.0,14,7,21,11,15,26,-5,-0.42
2012,Eastern Michigan,MAC,88,12,2.0,10.0,9,7,16,6,15,21,-5,-0.42
2012,Miami (FL),OH ,88,12,7.0,5.0,2,12,14,7,12,19,-5,-0.42
2012,Tennessee,SEC,88,12,5.0,7.0,5,12,17,8,14,22,-5,-0.42
2012,Florida St.,ACC,93,14,12.0,2.0,10,11,21,17,10,27,-6,-0.43
2012,UNLV,Mountain West,94,13,2.0,11.0,8,9,17,6,17,23,-6,-0.46
2012,Buffalo,MAC,95,12,4.0,8.0,3,13,16,12,10,22,-6,-0.5
2012,California,Pac-12,96,12,3.0,9.0,9,14,23,17,13,30,-7,-0.58
2012,Troy,Sun Belt,96,12,5.0,7.0,14,6,20,15,12,27,-7,-0.58
2012,Army,Independent,98,12,2.0,10.0,7,7,14,20,2,22,-8,-0.67
2012,Michigan,Big Ten,99,13,8.0,5.0,11,7,18,8,19,27,-9,-0.69
2012,NC State,ACC,99,13,7.0,6.0,8,16,24,16,17,33,-9,-0.69
2012,Tulane,C-USA,101,12,2.0,10.0,9,15,24,13,20,33,-9,-0.75
2012,UAB,C-USA,101,12,3.0,9.0,12,6,18,14,13,27,-9,-0.75
2012,Washington St.,Pac-12,101,12,3.0,9.0,6,15,21,9,21,30,-9,-0.75
2012,Maryland,ACC,104,12,4.0,8.0,16,4,20,18,12,30,-10,-0.83
2012,Nebraska,Big Ten,105,14,10.0,4.0,10,13,23,22,13,35,-12,-0.86
2012,Air Force,Mountain West,106,13,6.0,7.0,8,8,16,21,8,29,-13,-1.0
2012,Auburn,SEC,106,12,3.0,9.0,11,2,13,10,15,25,-12,-1.0
2012,Illinois,Big Ten,106,12,2.0,10.0,11,7,18,16,14,30,-12,-1.0
2012,Texas Tech,Big 12,106,13,8.0,5.0,3,8,11,8,16,24,-13,-1.0
2012,Akron,MAC,110,12,1.0,11.0,8,5,13,9,18,27,-14,-1.17
2012,Connecticut,AAC,110,12,5.0,7.0,6,6,12,8,18,26,-14,-1.17
2012,Hawaii,Mountain West,110,12,3.0,9.0,10,9,19,20,13,33,-14,-1.17
2012,Virginia,ACC,110,12,4.0,8.0,8,4,12,11,15,26,-14,-1.17
2012,Western Michigan,MAC,110,12,4.0,8.0,9,8,17,10,21,31,-14,-1.17
2012,Southern Miss,C-USA,115,12,0.0,12.0,7,5,12,15,13,28,-16,-1.33
2012,Idaho,WAC,116,12,1.0,11.0,13,9,22,17,22,39,-17,-1.42
2012,New Mexico State,WAC,117,12,1.0,11.0,5,4,9,16,11,27,-18,-1.5
2012,Arkansas,SEC,118,12,4.0,8.0,6,6,12,15,16,31,-19,-1.58
2012,Colorado,Pac-12,118,12,1.0,11.0,12,3,15,15,19,34,-19,-1.58
2012,South Florida,AAC,118,12,3.0,9.0,7,2,9,13,15,28,-19,-1.58
