Year,School,Conf,Rank,G,W,L,Opp_Fum,Opp_Int,Opp_TO,Fum,Int,TO,Margin,Margin/G
2019,Florida Atlantic,C-USA,1,14,11,3,11,22,33,4,8,12,21,1.5
2019,San Diego St.,Mountain West,2,13,10,3,9,18,27,2,6,8,19,1.4615384615384615
2019,Alabama,SEC,3,13,11,2,11,17,28,4,6,10,18,1.3846153846153846
2019,Notre Dame,FBS Independent,4,13,11,2,19,9,28,5,6,11,17,1.3076923076923077
2019,Oregon,Pac-12,5,14,12,2,7,20,27,5,6,11,16,1.1428571428571428
2019,Arizona St.,Pac-12,6,13,8,5,15,13,28,10,4,14,14,1.0769230769230769
2019,Appalachian St.,Sun Belt,7,14,13,1,10,14,24,3,6,9,15,1.0714285714285714
2019,Clemson,ACC,8,15,14,1,11,19,30,5,10,15,15,1.0
2019,Oregon St.,Pac-12,9,12,5,7,8,8,16,2,4,6,10,0.8333333333333334
2019,San Jose St.,Mountain West,9,12,5,7,7,16,23,5,8,13,10,0.8333333333333334
2019,Baylor,Big 12,11,14,11,3,13,17,30,11,8,19,11,0.7857142857142857
2019,Illinois,Big Ten,12,13,6,7,16,12,28,9,9,18,10,0.7692307692307693
2019,Syracuse,ACC,13,12,5,7,12,13,25,9,7,16,9,0.75
2019,Iowa,Big Ten,14,13,10,3,9,12,21,5,7,12,9,0.6923076923076923
2019,LSU,SEC,15,15,15,0,5,17,22,5,7,12,10,0.6666666666666666
2019,Ball St.,MAC,15,12,5,7,9,15,24,9,7,16,8,0.6666666666666666
2019,Utah,Pac-12,17,14,11,3,8,14,22,9,4,13,9,0.6428571428571429
2019,Ohio St.,Big Ten,17,14,13,1,10,15,25,13,3,16,9,0.6428571428571429
2019,Penn State,Big Ten,19,13,11,2,12,10,22,5,9,14,8,0.6153846153846154
2019,Wake Forest,ACC,19,13,8,5,11,14,25,4,13,17,8,0.6153846153846154
2019,Buffalo,MAC,19,13,8,5,11,11,22,8,6,14,8,0.6153846153846154
2019,Georgia Southern,Sun Belt,19,13,7,6,10,9,19,10,1,11,8,0.6153846153846154
2019,Washington,Pac-12,19,13,8,5,9,13,22,6,8,14,8,0.6153846153846154
2019,Western Michigan,MAC,19,13,7,6,9,13,22,6,8,14,8,0.6153846153846154
2019,North Carolina,ACC,19,13,7,6,6,14,20,5,7,12,8,0.6153846153846154
2019,Louisiana Tech,C-USA,26,13,10,3,9,17,26,9,10,19,7,0.5384615384615384
2019,Kent State,MAC,27,13,7,6,11,7,18,10,2,12,6,0.46153846153846156
2019,Central Florida,AAC,27,13,10,3,8,13,21,7,8,15,6,0.46153846153846156
2019,Auburn,SEC,27,13,9,4,13,10,23,11,6,17,6,0.46153846153846156
2019,Navy,AAC,27,13,11,2,10,12,22,12,4,16,6,0.46153846153846156
2019,Cincinnati,AAC,31,14,11,3,10,16,26,9,11,20,6,0.42857142857142855
2019,South Florida,AAC,32,12,4,8,12,12,24,9,10,19,5,0.4166666666666667
2019,Florida,SEC,33,13,11,2,7,16,23,8,10,18,5,0.38461538461538464
2019,Wyoming,Mountain West,33,13,8,5,8,12,20,6,9,15,5,0.38461538461538464
2019,Texas,Big 12,33,13,8,5,7,12,19,4,10,14,5,0.38461538461538464
2019,Boston College,ACC,33,13,6,7,7,10,17,6,6,12,5,0.38461538461538464
2019,Louisiana,Sun Belt,37,14,11,3,9,10,19,10,4,14,5,0.35714285714285715
2019,Texas Tech,Big 12,38,12,4,8,5,14,19,7,8,15,4,0.3333333333333333
2019,Fresno St.,Mountain West,38,12,4,8,11,11,22,7,11,18,4,0.3333333333333333
2019,Minnesota,Big Ten,40,13,11,2,5,14,19,7,8,15,4,0.3076923076923077
2019,SMU,AAC,40,13,10,3,12,9,21,6,11,17,4,0.3076923076923077
2019,Eastern Michigan,MAC,40,13,6,7,10,11,21,5,12,17,4,0.3076923076923077
2019,South Carolina,SEC,43,12,4,8,5,12,17,7,7,14,3,0.25
2019,Colorado,Pac-12,43,12,5,7,6,11,17,3,11,14,3,0.25
2019,Middle Tennessee,C-USA,43,12,4,8,9,8,17,5,9,14,3,0.25
2019,Miami (FL),FL ,46,13,6,7,10,10,20,7,10,17,3,0.23076923076923078
2019,California,Pac-12,46,13,8,5,8,8,16,4,9,13,3,0.23076923076923078
2019,Florida Intl,C-USA,46,13,6,7,6,12,18,9,6,15,3,0.23076923076923078
2019,Georgia,SEC,49,14,12,2,8,8,16,7,6,13,3,0.21428571428571427
2019,Liberty,FBS Independent,50,13,8,5,6,12,18,8,8,16,2,0.15384615384615385
2019,Indiana,Big Ten,50,13,8,5,10,7,17,6,9,15,2,0.15384615384615385
2019,Miami (FL),OH ,52,14,8,6,9,11,20,8,10,18,2,0.14285714285714285
2019,Massachusetts,FBS Independent,53,12,1,11,11,10,21,4,16,20,1,0.08333333333333333
2019,Ole Miss,SEC,53,12,4,8,6,10,16,9,6,15,1,0.08333333333333333
2019,East Carolina,AAC,53,12,4,8,7,11,18,7,10,17,1,0.08333333333333333
2019,Missouri,SEC,53,12,6,6,7,8,15,6,8,14,1,0.08333333333333333
2019,Georgia St.,Sun Belt,57,13,7,6,8,9,17,7,9,16,1,0.07692307692307693
2019,Mississippi St.,SEC,57,13,6,7,14,10,24,13,10,23,1,0.07692307692307693
2019,Kansas St.,Big 12,57,13,8,5,4,11,15,9,5,14,1,0.07692307692307693
2019,BYU,FBS Independent,57,13,7,6,7,15,22,10,11,21,1,0.07692307692307693
2019,TCU,Big 12,61,12,5,7,4,16,20,9,11,20,0,0.0
2019,Temple,AAC,61,13,8,5,12,8,20,7,13,20,0,0.0
2019,UL Monroe,Sun Belt,61,12,5,7,8,10,18,6,12,18,0,0.0
2019,Boise St.,Mountain West,61,14,12,2,9,10,19,8,11,19,0,0.0
2019,Michigan,Big Ten,61,13,9,4,11,9,20,11,9,20,0,0.0
2019,Wisconsin,Big Ten,61,14,10,4,10,12,22,17,5,22,0,0.0
2019,Coastal Carolina,Sun Belt,61,12,5,7,6,11,17,8,9,17,0,0.0
2019,Nebraska,Big Ten,61,12,5,7,10,11,21,12,9,21,0,0.0
2019,Memphis,AAC,69,14,12,2,8,11,19,9,11,20,-1,-0.07142857142857142
2019,Tennessee,SEC,70,13,8,5,4,15,19,7,13,20,-1,-0.07692307692307693
2019,Oklahoma St.,Big 12,70,13,8,5,7,12,19,8,12,20,-1,-0.07692307692307693
2019,Kentucky,SEC,70,13,8,5,11,8,19,12,8,20,-1,-0.07692307692307693
2019,Louisville,ACC,70,13,8,5,11,7,18,10,9,19,-1,-0.07692307692307693
2019,Army,FBS Independent,70,13,5,8,10,7,17,11,7,18,-1,-0.07692307692307693
2019,Tulsa,AAC,75,12,4,8,13,5,18,10,9,19,-1,-0.08333333333333333
2019,Old Dominion,C-USA,75,12,1,11,9,9,18,7,12,19,-1,-0.08333333333333333
2019,Stanford,Pac-12,75,12,4,8,4,8,12,5,8,13,-1,-0.08333333333333333
2019,Utah St.,Mountain West,78,13,7,6,13,11,24,8,18,26,-2,-0.15384615384615385
2019,Tulane,AAC,78,13,7,6,4,12,16,8,10,18,-2,-0.15384615384615385
2019,Michigan St.,Big Ten,78,13,7,6,10,12,22,9,15,24,-2,-0.15384615384615385
2019,Marshall,C-USA,78,13,8,5,6,10,16,7,11,18,-2,-0.15384615384615385
2019,Air Force,Mountain West,78,13,11,2,9,7,16,12,6,18,-2,-0.15384615384615385
2019,Vanderbilt,SEC,83,12,3,9,5,6,11,3,10,13,-2,-0.16666666666666666
2019,Troy,Sun Belt,83,12,5,7,5,11,16,7,11,18,-2,-0.16666666666666666
2019,Virginia,ACC,85,14,9,5,6,12,18,6,15,21,-3,-0.21428571428571427
2019,Arkansas St.,Sun Belt,86,13,8,5,7,12,19,11,11,22,-3,-0.23076923076923078
2019,Florida St.,ACC,86,13,6,7,10,8,18,8,13,21,-3,-0.23076923076923078
2019,Iowa St.,Big 12,86,13,7,6,7,6,13,7,9,16,-3,-0.23076923076923078
2019,Arizona,Pac-12,89,12,4,8,4,11,15,6,12,18,-3,-0.25
2019,Ohio,MAC,90,13,7,6,10,5,15,13,6,19,-4,-0.3076923076923077
2019,Charlotte,C-USA,90,13,7,6,6,9,15,5,14,19,-4,-0.3076923076923077
2019,Virginia Tech,ACC,90,13,8,5,5,14,19,15,8,23,-4,-0.3076923076923077
2019,UNLV,Mountain West,93,12,4,8,5,9,14,6,12,18,-4,-0.3333333333333333
2019,UTEP,C-USA,93,12,1,11,5,5,10,6,8,14,-4,-0.3333333333333333
2019,Georgia Tech,ACC,93,12,3,9,9,7,16,10,10,20,-4,-0.3333333333333333
2019,Nevada,Mountain West,96,13,7,6,8,11,19,11,13,24,-5,-0.38461538461538464
2019,Arkansas,SEC,97,12,2,10,10,6,16,6,15,21,-5,-0.4166666666666667
2019,Maryland,Big Ten,97,12,3,9,6,10,16,9,12,21,-5,-0.4166666666666667
2019,Rice,C-USA,97,12,3,9,5,6,11,12,4,16,-5,-0.4166666666666667
2019,Western Kentucky,C-USA,100,13,9,4,4,11,15,9,12,21,-6,-0.46153846153846156
2019,Texas A&M,SEC,100,13,8,5,4,10,14,10,10,20,-6,-0.46153846153846156
2019,Washington St.,Pac-12,100,13,6,7,9,10,19,9,16,25,-6,-0.46153846153846156
2019,Northern Illinois,MAC,103,12,5,7,9,4,13,8,11,19,-6,-0.5
2019,Bowling Green,MAC,103,12,3,9,8,7,15,6,15,21,-6,-0.5
2019,South Alabama,Sun Belt,103,12,2,10,7,9,16,11,11,22,-6,-0.5
2019,UTSA,C-USA,103,12,4,8,11,6,17,12,11,23,-6,-0.5
2019,North Texas,C-USA,103,12,4,8,9,4,13,7,12,19,-6,-0.5
2019,West Virginia,Big 12,103,12,5,7,6,8,14,5,15,20,-6,-0.5
2019,Oklahoma,Big 12,109,14,12,2,4,7,11,10,9,19,-8,-0.5714285714285714
2019,UAB,C-USA,109,14,9,5,13,7,20,8,20,28,-8,-0.5714285714285714
2019,Houston,AAC,111,12,4,8,6,8,14,9,12,21,-7,-0.5833333333333334
2019,Pittsburgh,ACC,112,13,8,5,5,9,14,12,10,22,-8,-0.6153846153846154
2019,Purdue,Big Ten,113,12,4,8,6,9,15,8,15,23,-8,-0.6666666666666666
2019,Toledo,MAC,113,12,6,6,4,7,11,12,7,19,-8,-0.6666666666666666
2019,UCLA,Pac-12,113,12,4,8,9,5,14,10,12,22,-8,-0.6666666666666666
2019,Connecticut,AAC,113,12,2,10,7,7,14,7,15,22,-8,-0.6666666666666666
2019,Hawaii,Mountain West,117,15,10,5,5,14,19,13,17,30,-11,-0.7333333333333333
2019,Texas St.,Sun Belt,118,12,3,9,8,7,15,4,20,24,-9,-0.75
2019,USC,Pac-12,119,13,8,5,7,9,16,11,15,26,-10,-0.7692307692307693
2019,Central Michigan,MAC,120,14,8,6,6,13,19,17,13,30,-11,-0.7857142857142857
2019,Northwestern,Big Ten,121,12,3,9,7,7,14,9,15,24,-10,-0.8333333333333334
2019,Southern Miss,C-USA,122,13,7,6,5,10,15,9,17,26,-11,-0.8461538461538461
2019,Colorado St.,Mountain West,123,12,4,8,7,6,13,13,11,24,-11,-0.9166666666666666
2019,Duke,ACC,123,12,5,7,8,9,17,14,14,28,-11,-0.9166666666666666
2019,Kansas,Big 12,125,12,3,9,2,6,8,6,14,20,-12,-1.0
2019,Rutgers,Big Ten,126,12,2,10,4,6,10,8,15,23,-13,-1.0833333333333333
2019,NC State,ACC,126,12,4,8,4,4,8,11,10,21,-13,-1.0833333333333333
2019,Akron,MAC,128,12,0,12,6,5,11,12,14,26,-15,-1.25
2019,New Mexico State,FBS Independent,128,12,2,10,7,5,12,12,15,27,-15,-1.25
2019,New Mexico,Mountain West,128,12,2,10,7,4,11,11,15,26,-15,-1.25
